iter,loss_dev,loss_train
0,3.18173,3.17446
1,1.49096,1.45376
2,1.18341,1.13638
3,1.08727,1.03567
4,1.04685,0.992722
5,1.02636,0.970671
6,1.0145,0.957762
7,1.00696,0.949455
8,1.00182,0.943732
9,0.998113,0.939576
10,0.995331,0.936426
11,0.993176,0.933972
12,0.991452,0.932001
13,0.990041,0.930381
14,0.988868,0.929032
15,0.98787,0.927886
16,0.987011,0.926895
17,0.986262,0.926031
18,0.985599,0.925262
19,0.985002,0.924573
20,0.984463,0.923941
21,0.983964,0.923357
22,0.9835,0.922811
23,0.983062,0.922283
24,0.982639,0.921769
25,0.982221,0.921257
26,0.981804,0.920731
27,0.981376,0.920185
28,0.980932,0.919603
29,0.980457,0.918975
30,0.979942,0.918279
31,0.979376,0.917498
32,0.97875,0.916624
33,0.978051,0.915632
34,0.977275,0.914517
35,0.976412,0.913261
36,0.975462,0.911858
37,0.974425,0.910313
38,0.973312,0.908623
39,0.972135,0.906814
40,0.970913,0.904904
41,0.969667,0.902918
42,0.96842,0.900895
43,0.967197,0.898859
44,0.966012,0.896838
45,0.964877,0.894855
46,0.963806,0.892925
47,0.962802,0.891055
48,0.961863,0.889255
49,0.960988,0.887523
50,0.96017,0.885859
51,0.95941,0.884253
52,0.958697,0.882695
53,0.958025,0.881182
54,0.95739,0.879705
55,0.956787,0.878255
56,0.956213,0.876829
57,0.955663,0.875412
58,0.955131,0.874002
59,0.954618,0.8726
60,0.954121,0.871195
61,0.953636,0.869786
62,0.953163,0.868365
63,0.952703,0.866933
64,0.952253,0.865492
65,0.951814,0.86404
66,0.951385,0.86257
67,0.950964,0.861088
68,0.950551,0.859591
69,0.950152,0.858083
70,0.949761,0.856562
71,0.949381,0.855032
72,0.94901,0.853493
73,0.948651,0.85195
74,0.948302,0.850397
75,0.947963,0.84884
76,0.947635,0.847282
77,0.947317,0.845717
78,0.94701,0.844153
79,0.946715,0.842586
80,0.946426,0.841026
81,0.94615,0.839465
82,0.945883,0.837911
83,0.945623,0.836356
84,0.945374,0.834803
85,0.945135,0.833265
86,0.944902,0.831728
87,0.944681,0.830195
88,0.944466,0.828671
89,0.94426,0.827153
90,0.944061,0.825644
91,0.943871,0.824144
92,0.943688,0.822647
93,0.943512,0.821163
94,0.943343,0.819688
95,0.943179,0.818221
96,0.943024,0.816762
97,0.942875,0.815316
98,0.942732,0.813879
99,0.942596,0.812454
100,0.942464,0.811038
101,0.94234,0.809633
102,0.942222,0.808239
103,0.942109,0.806853
104,0.942,0.805485
105,0.941901,0.804126
106,0.941803,0.802779
107,0.941711,0.801441
108,0.941626,0.800119
109,0.941543,0.798809
110,0.941469,0.797513
111,0.941398,0.796226
112,0.941331,0.794954
113,0.941268,0.793694
114,0.941211,0.792448
115,0.941156,0.791213
116,0.941108,0.789997
117,0.94106,0.788788
118,0.941019,0.787594
119,0.94098,0.786415
120,0.940946,0.785248
121,0.940916,0.784095
122,0.940888,0.782952
123,0.940865,0.781827
124,0.940844,0.780713
125,0.940824,0.779613
126,0.940812,0.778524
127,0.940798,0.777448
128,0.940787,0.776389
129,0.940781,0.77534
130,0.940776,0.774305
131,0.940774,0.773281
132,0.940774,0.772271
133,0.940776,0.771274
134,0.94078,0.770286
135,0.940787,0.769316
136,0.940794,0.768355
137,0.940803,0.767408
138,0.940816,0.766471
139,0.940829,0.765546
140,0.940843,0.764634
